Number of vertices ;Diameter;Edge connectivity;Matching number;Radius;Largest L-eigenvalue ;Second largest Eigenvalue;Smallest Eigenvalue;Girth;Chromatic Index
30;6;3;15;5;5.61991;2.67718;-2.61991;5;1
30;6;3;15;4;5.61533;2.73187;-2.61533;4;1
30;6;3;15;4;5.62705;2.75753;-2.62705;5;1
30;6;3;15;4;5.62997;2.75768;-2.62997;5;1
30;5;3;15;4;5.57093;2.62085;-2.57093;5;1
30;6;3;15;4;5.74034;2.59078;-2.74034;5;1
30;5;3;15;4;5.58712;2.57883;-2.58712;5;1
30;6;3;15;4;5.70102;2.59702;-2.70102;5;1
30;5;3;15;4;5.70365;2.62844;-2.70365;5;1
30;6;3;15;4;5.5746;2.6506;-2.5746;5;1
30;6;3;15;5;5.71271;2.76766;-2.71271;5;1
30;6;3;15;4;5.57879;2.75694;-2.57879;5;1
30;6;3;15;4;5.70337;5.74856;-2.70337;5;1
30;6;3;15;4;5.70434;2.75103;-2.70434;5;1
30;7;3;15;4;5.76526;2.77422;-2.76526;5;1
30;6;3;15;4;5.66218;2.75789;-2.66218;4;1
30;6;3;15;4;5.65881;2.76379;-2.65881;5;1
30;6;3;15;4;5.62774;2.74681;-2.62774;5;1
30;6;3;15;4;5.57394;2.74705;-2.57394;5;1
30;6;3;15;4;5.63083;2.74682;-2.63083;5;1
30;6;3;15;4;5.67834;2.74377;-2.67834;4;1
30;6;3;15;4;5.6777;2.74411;-2.6777;4;1
30;6;3;15;4;5.68888;2.74404;-2.68888;4;1
30;6;3;15;4;5.70476;2.74851;-2.70476;5;1
30;6;3;15;4;5.70433;2.7485;-2.70433;5;1
30;6;3;15;4;5.6825;2.76772;-2.6825;4;1
30;6;3;15;4;5.68886;2.75899;-2.68886;4;1
30;6;3;15;4;5.63378;2.75817;-2.63378;5;1
30;6;3;15;4;5.63874;2.75816;-2.63874;5;1
30;6;3;15;4;5.59959;2.65912;-2.59959;5;1
30;7;3;15;4;5.63643;2.78127;-2.63643;5;1
30;6;3;15;4;5.63787;2.7515;-2.63787;5;1
30;6;3;15;4;5.60828;2.66516;-2.60828;5;1
30;6;3;15;4;5.6593;2.61629;-2.6593;5;1
30;4;3;15;4;5.83;2.562;-2.583;6;1
30;6;3;15;5;5.696;2.65;-2.696;5;1
30;6;3;15;4;5.574;2.632;-2.574;5;1
30;6;3;15;4;5.75;2.67;-2.75;5;1
30;6;3;15;4;5.528;2.632;-2.528;5;1
30;6;3;15;4;5.663;2.64;-2.663;5;1
30;6;3;15;4;5.685;2.628;-2.685;5;1
30;6;3;15;4;5.582;2.698;-2.582;5;1
30;6;3;15;4;5.568;2.688;-2.568;5;1
30;6;3;15;4;5.579;2.686;-2.579;5;1
30;6;3;15;4;5.68;2.622;-2.68;5;1
30;6;3;15;4;5.552;2.601;-2.552;5;1
30;6;3;15;5;5.804;2.691;-2.804;5;1
30;6;3;15;4;5.714;2.697;-2.714;5;1
30;6;3;15;5;5.648;2.675;-2.648;5;1
30;6;3;15;4;5.748;2.706;-2.748;5;1
30;6;3;15;4;5.689;2.689;-2.689;5;1
30;5;3;15;5;5.612;2.678;-2.612;5;1
30;6;3;15;4;5.671;2.669;-2.671;5;1
30;6;3;15;4;5.678;2.688;-2.678;5;1
30;6;3;15;4;5.574;2.704;-2.574;5;1
30;6;3;15;5;5.709;2.691;-2.709;5;1
30;6;3;15;4;5.51;2.697;-2.51;5;1
30;6;3;15;5;5.531;2.699;-2.531;5;1
30;6;3;15;4;5.568;2.689;-2.568;5;1
30;6;3;15;4;5.765;2.63;-2.765;5;1
30;6;3;15;4;5.739;2.698;-2.739;5;1
30;6;3;15;4;5.764;2.618;-2.764;5;1
30;6;3;15;4;5.681;2.587;-2.681;5;1
30;6;3;15;4;5.544;2.663;-2.544;5;1
30;6;3;15;4;5.532;2.621;-2.532;5;1
30;6;3;15;5;5.557;2.632;-2.557;5;1
30;6;3;15;5;5.696;2.667;-2.696;5;1
30;6;3;15;4;5.619;2.629;-2.619;5;1
30;6;3;15;4;5.75;2.625;-2.75;5;1
30;6;3;15;4;5.625;2.639;-2.625;5;1
30;6;3;15;4;5.679;2.637;-2.679;5;1
30;6;3;15;4;5.612;2.622;-2.612;5;1
30;5;3;15;4;5.608;2.67;-2.608;5;1
30;6;3;15;4;5.693;2.631;-2.693;5;1
30;6;3;15;4;5.766;2.639;-2.766;5;1
30;6;3;15;4;5.752;2.635;-2.752;5;1
30;6;3;15;4;5.682;2.66;-2.682;5;1
30;6;3;15;5;5.666;2.683;-2.666;5;1
30;6;3;15;5;5.689;2.699;-2.689;5;1
30;6;3;15;4;5.662;2.663;-2.662;5;1
30;6;3;15;4;5.558;2.62;-2.558;5;1
30;6;3;15;4;5.66;2.614;-2.66;5;1
30;6;3;15;4;5.608;2.637;-2.608;5;1
30;6;3;15;4;5.708;2.634;-2.708;5;1
